Temporada,Rank,Equip,Nacionalitat,Jugador,Gols,PJ,Gpp,Asist,App,Pen,Pen %,FD,FD %,Az,Azpp,Rj,Rjpp
16/17,43,LLO,ES,"PLAZA BALAGUE, DAVID",15,25,0.60,3,0.12,0/3,0.00,0/5,0.00,3,0.12,,
16/17,44,FCB,ES,"GUAL ROSELL, MARC",15,30,0.50,8,0.27,0/4,0.00,1/3,33.33,2,0.07,,
16/17,45,LIC,ES,"CARBALLEIRA DOMÍNGUEZ , CÉSAR",14,28,0.50,3,0.11,,,,,5,0.18,,
16/17,46,VOL,ES,"ARMENGOL SERRAT, JAVIER",14,30,0.47,2,0.07,2/7,28.57,1/1,100.00,1,0.03,,
16/17,47,VLF,ES,"VÁZQUEZ  MARCHAN, JOAN",14,30,0.47,4,0.13,0/2,0.00,0/2,0.00,1,0.03,,
16/17,48,NOI,AO,"MENDES, HUMBERTO DA SILVA",13,24,0.54,3,0.13,0/2,0.00,4/10,40.00,4,0.17,1,0.04
16/17,49,NOI,ES,"ROSA CAPELLA, FERRAN ",13,28,0.46,4,0.14,5/11,45.45,0/2,0.00,2,0.07,,
16/17,50,VEN,ES,"NAVARRO  BARRACHINA, MARC",13,27,0.48,2,0.07,,,0/1,0.00,1,0.04,,
16/17,51,IGU,ES,"MOLAS TERRADELLAS, JAUME",13,30,0.43,1,0.03,,,1/4,25.00,1,0.03,,
16/17,52,NOI,ES,"ALBESA ROS, ELOI",12,25,0.48,2,0.08,,,8/20,40.00,3,0.12,,
16/17,53,VIC,ES,"PRESAS FERNÁNDEZ, ROGER",12,30,0.40,5,0.17,,,0/1,0.00,,,,
16/17,54,LIC,ES,"TORRES PASTORIZA, DAVID",12,30,0.40,7,0.23,,,0/3,0.00,,,,
16/17,55,VIC,ES,"ORDEIG MALAGÓN, JOSEP MARIA",11,30,0.37,2,0.07,1/4,25.00,1/2,50.00,5,0.17,,
16/17,56,CLD,ES,"GALBAS PEDROL, POL",11,28,0.39,3,0.11,,,0/4,0.00,2,0.07,,
16/17,57,VIC,ES,"LLORCA FENES, SERGI",11,29,0.38,3,0.10,,,0/3,0.00,3,0.10,,
16/17,58,VLF,ES,"GALAN  BRUGAROLA, JORDI",11,28,0.39,5,0.18,4/5,80.00,,,8,0.29,1,0.04
16/17,59,LLE,ES,"LOPEZ CASTILLA, FCO.BORJA",11,30,0.37,5,0.17,3/4,75.00,,,2,0.07,,
16/17,60,FCB,ES,"LAMAS ALSINA, EDUARDO",10,30,0.33,3,0.10,,,,,2,0.07,,
16/17,61,VEN,ES,"FERNÁNDEZ  BRUNET, EDUARD",10,30,0.33,1,0.03,0/2,0.00,0/2,0.00,2,0.07,,
16/17,62,FCB,ES,"BARROSO MAYORDOMO, XAVIER",10,29,0.34,,,4/8,50.00,0/1,0.00,3,0.10,,
16/17,63,VEN,ES,"ROCASALBAS  ARGEMÍ, ROGER",10,30,0.33,4,0.13,1/1,100.00,4/14,28.57,4,0.13,,
16/17,64,NOI,ES,"ARAGONES FERRERES , SERGI",10,29,0.34,3,0.10,,,,,3,0.10,,
16/17,65,GIR,ES,"GOMEZ COTANO, MARC",9,29,0.31,3,0.10,0/1,0.00,,,2,0.07,,
16/17,66,ALCB,PT,"DA FONSECA NUNES, GONÇALO",9,14,0.64,,,0/1,0.00,0/4,0.00,1,0.07,,
16/17,67,MAN,ES,"BALLART LUJAN, ADRIÀ",9,30,0.30,2,0.07,0/1,0.00,4/11,36.36,3,0.10,,
16/17,68,ALCY,IT,"MATIAS BAIELI, FELIPE SEBASTIAN",9,29,0.31,3,0.10,0/1,0.00,,,8,0.28,,
16/17,69,VEN,ES,"GIL FRANCH, FRANCESC",9,30,0.30,1,0.03,,,,,3,0.10,,
16/17,70,LLE,ES,"RODERO AMOROS, LLUIS",9,27,0.33,2,0.07,,,2/5,40.00,,,,
16/17,71,VOL,ES,"CRESPO OLIVA, XAVIER",9,30,0.30,3,0.10,0/1,0.00,,,2,0.07,,
16/17,72,VLF,ES,"VÁZQUEZ COMPTE, MARC",8,30,0.27,,,,,2/12,16.67,1,0.03,,
16/17,73,GIR,ES,"GARCIA ROMAGUERA, MANEL",8,28,0.29,1,0.04,,,0/1,0.00,,,,
16/17,74,GIR,ES,"HERNANDEZ SAEZ, JOSEP",8,29,0.28,2,0.07,,,,,3,0.10,,
16/17,75,IGU,ES,"BARGALLO TORRES, FRANCESC",8,30,0.27,7,0.23,0/2,0.00,,,2,0.07,,
16/17,76,MAN,ES,"FARRÉS CABALLOL, JAUME",7,29,0.24,1,0.03,,,1/5,20.00,3,0.10,,
16/17,77,LLE,ES,"TRILLA RUIZ , CARLOS",7,30,0.23,1,0.03,1/3,33.33,,,1,0.03,,
16/17,78,NOI,ES,"ROCA SUBIRANA, NIL",7,28,0.25,4,0.14,,,,,2,0.07,,
16/17,79,GIR,ES,"RAMON CONTRERAS, BORJA",7,30,0.23,4,0.13,1/1,100.00,3/4,75.00,1,0.03,,
16/17,80,VLF,ES,"RODRIGUEZ ROJAS, ANGEL",7,23,0.30,2,0.09,0/1,0.00,0/1,0.00,2,0.09,,
16/17,81,VOL,ES,"RODRIGUEZ DALMAU, DANIEL",7,29,0.24,4,0.14,,,4/8,50.00,4,0.14,,
16/17,82,FCB,ES,"PANADERO ARBAT, SERGI",7,29,0.24,4,0.14,,,0/1,0.00,2,0.07,,
16/17,83,VOL,ES,"VARGAS NAVAS, ERIC",7,30,0.23,3,0.10,,,,,2,0.07,,
16/17,84,LLO,ES,"FARRE CASTELLS, ADRIA",6,30,0.20,2,0.07,,,0/1,0.00,,,,
16/17,85,NOI,ES,"XAUS MOLINARI, ARNAU",6,30,0.20,2,0.07,,,,,1,0.03,,
16/17,86,LLO,ES,"GRAU TALLADA, LLUIS",6,29,0.21,1,0.03,,,0/1,0.00,3,0.10,,
16/17,87,CLD,ES,"URBANO ICART, JORDI",6,30,0.20,2,0.07,,,1/3,33.33,,,,
16/17,88,LLE,ES,"LLISA VIGATÀ, ROC",6,30,0.20,1,0.03,,,,,,,,
16/17,89,IGU,ES,"BARS CATALÀ, ROGER",6,29,0.21,3,0.10,0/1,0.00,,,,,,
16/17,90,MAN,ES,"GRAU SALA, ALBERT",6,24,0.25,2,0.08,2/5,40.00,,,3,0.13,,
16/17,91,VLF,ES,"FERRER SANTACANA, LLUIS",6,30,0.20,1,0.03,0/1,0.00,0/1,0.00,2,0.07,,
